model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k6,6.0,False,300.0,7.0,0.0233,0.7067,0.6555,0.7883,0.7067,0.6555,0.7883,0.7067,0.819,0.7197,0.95,100.0,0.8033,0.6906,0.96,100.0,0.3443,0.9545,0.21,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k9,9.0,False,300.0,7.0,0.0233,0.72,0.675,0.7976,0.72,0.675,0.7976,0.72,0.817,0.7111,0.96,100.0,0.824,0.7218,0.96,100.0,0.384,0.96,0.24,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k1,1.0,True,300.0,3.0,0.01,0.6767,0.6045,0.7597,0.6767,0.6045,0.7597,0.6767,0.8052,0.7099,0.93,100.0,0.7649,0.6358,0.96,100.0,0.2435,0.9333,0.14,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k3,3.0,True,300.0,3.0,0.01,0.7033,0.6489,0.7811,0.7033,0.6489,0.7811,0.7033,0.8282,0.7402,0.94,100.0,0.7742,0.6486,0.96,100.0,0.3443,0.9545,0.21,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k6,6.0,True,300.0,4.0,0.0133,0.72,0.6746,0.7829,0.72,0.6746,0.7829,0.72,0.8384,0.7442,0.96,100.0,0.7917,0.6786,0.95,100.0,0.3937,0.9259,0.25,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,True,300.0,7.0,0.0233,0.7367,0.6946,0.8101,0.7367,0.6946,0.8101,0.7367,0.8609,0.7615,0.99,100.0,0.8136,0.7059,0.96,100.0,0.4094,0.963,0.26,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,False,300.0,1.0,0.0033,0.8233,0.8188,0.8549,0.8233,0.8188,0.8549,0.8233,0.9109,0.902,0.92,100.0,0.817,0.7111,0.96,100.0,0.7284,0.9516,0.59,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,True,300.0,3.0,0.01,0.7,0.6479,0.7838,0.7,0.6479,0.7838,0.7,0.8493,0.7815,0.93,100.0,0.75,0.6154,0.96,100.0,0.3443,0.9545,0.21,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,True,300.0,6.0,0.02,0.7333,0.688,0.806,0.7333,0.688,0.806,0.7333,0.8571,0.7557,0.99,100.0,0.8101,0.7007,0.96,100.0,0.3968,0.9615,0.25,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k6,6.0,True,300.0,10.0,0.0333,0.7367,0.7076,0.8061,0.7367,0.7076,0.8061,0.7367,0.837,0.748,0.95,100.0,0.8312,0.7328,0.96,100.0,0.4545,0.9375,0.3,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k6.csv,0.0
